Definition	Acronym	AcronymID
Biologics Regulatory Management System                                                                                                                                                                                                                                                                                                                                                                          	BRMS                               	1
body surface area                                                                                                                                                                                                                                                                                                                                                                                               	BSA                                	2
bovine spongiform encephalopathy (mad cow disease)                                                                                                                                                                                                                                                                                                                                                              	BSE                                	3
bovine somatotropin                                                                                                                                                                                                                                                                                                                                                                                             	BST                                	4
British Veterinary Codex                                                                                                                                                                                                                                                                                                                                                                                        	BVC                                	5
culture and sensitivity                                                                                                                                                                                                                                                                                                                                                                                         	C & S                              	6
certificate of analysis                                                                                                                                                                                                                                                                                                                                                                                         	C of A                             	7
Chemical Abstracts                                                                                                                                                                                                                                                                                                                                                                                              	CA                                 	8
Carcinogenicity Assessment Committee (CDER)                                                                                                                                                                                                                                                                                                                                                                     	CAC                                	9
Center ADP/TC Computer Tracking and Inventory System (CFSAN)	CACTIS	10
Cancer Data Standards Repository (NCI)                                                                                                                                                                                                                                                                                                                                                                          	caDSR                              	11
CFSAN Adverse Event Reporting System                                                                                                                                                                                                                                                                                                                                                                            	CAERS                              	12
computer assisted new drug application                                                                                                                                                                                                                                                                                                                                                                          	CANDA                              	13
color additive petition                                                                                                                                                                                                                                                                                                                                                                                         	CAP                                	14
computer assisted product license application                                                                                                                                                                                                                                                                                                                                                                   	CAPLA                              	15
Canadian Association of Professional Regulatory Affairs                                                                                                                                                                                                                                                                                                                                                         	CAPRA                              	16
Compliance Achievement Reporting System                                                                                                                                                                                                                                                                                                                                                                         	CARS                               	17
CFSAN Automated Research Tracking System                                                                                                                                                                                                                                                                                                                                                                        	CARTS                              	18
Chemical Abstracts Service                                                                                                                                                                                                                                                                                                                                                                                      	CAS                                	19
computer aided software engineering                                                                                                                                                                                                                                                                                                                                                                             	CASE                               	20
Center Automated System Process Exchange and Reporting (CFSAN)                                                                                                                                                                                                                                                                                                                                                  	CASPER                             	21
Calf Antibiotic and Sulfonamide Test	CAST	22
complete blood count                                                                                                                                                                                                                                                                                                                                                                                            	CBC                                	23
Community-based Clinical Trials Network (AmFAR)                                                                                                                                                                                                                                                                                                                                                                 	CBCTN                              	24
changes being effected                                                                                                                                                                                                                                                                                                                                                                                          	CBE                                	25
Center for Biologics Evaluation and Research (FDA)                                                                                                                                                                                                                                                                                                                                                              	CBER                               	26
Clinical Center (NIH)                                                                                                                                                                                                                                                                                                                                                                                           	CC                                 	27
Clinger-Cohen Act (formerly the Information Technology Management Reform Act)                                                                                                                                                                                                                                                                                                                                   	CCA                                	28
Compliance Coordinating Committee (CDER)                                                                                                                                                                                                                                                                                                                                                                        	CCC                                	29
Certification Commission for Healthcare Information Technology                                                                                                                                                                                                                                                                                                                                                  	CCHIT                              	30
certified clinical research coordinator                                                                                                                                                                                                                                                                                                                                                                         	CCRC                               	31
Codex Committee on Residues of Veterinary Drugs in Foods                                                                                                                                                                                                                                                                                                                                                        	CC/RVDF                            	32
clinical document architecture                                                                                                                                                                                                                                                                                                                                                                                  	CDA                                	33
Centers for Disease Control and Prevention (DHHS)                                                                                                                                                                                                                                                                                                                                                               	CDC                                	34
Center for Drug Evaluation and Research (FDA)	CDER	35
Clinical Data Interchange Standards Consortium                                                                                                                                                                                                                                                                                                                                                                  	CDISC                              	36
central document room                                                                                                                                                                                                                                                                                                                                                                                           	CDR                                	37
Center for Devices and Radiological Health (FDA)                                                                                                                                                                                                                                                                                                                                                                	CDRH                               	38
compact disc read-only memory                                                                                                                                                                                                                                                                                                                                                                                   	CD-ROM                             	39
continuing education                                                                                                                                                                                                                                                                                                                                                                                            	CE                                 	40
European Chemical Industry Council                                                                                                                                                                                                                                                                                                                                                                              	CEFIC                              	41
Combined Federal Campaign                                                                                                                                                                                                                                                                                                                                                                                       	CFC                                	42
central file number (ORA)                                                                                                                                                                                                                                                                                                                                                                                       	CFN                                	43
Code of Federal Regulations                                                                                                                                                                                                                                                                                                                                                                                     	CFR                                	44
Center for Food Safety and Applied Nutrition (FDA)                                                                                                                                                                                                                                                                                                                                                              	CFSAN                              	45
common gateway interface                                                                                                                                                                                                                                                                                                                                                                                        	CGI                                	46
current good manufacturing practice                                                                                                                                                                                                                                                                                                                                                                             	cGMP                               	47
clinical hold                                                                                                                                                                                                                                                                                                                                                                                                   	CH                                 	48
Consolidated Health Informatics Initiative                                                                                                                                                                                                                                                                                                                                                                      	CHI                                	49
Consumer Healthcare Products Association                                                                                                                                                                                                                                                                                                                                                                        	CHPA                               	50
Computer Incident Advisory Capability (U.S. Department of Energy)                                                                                                                                                                                                                                                                                                                                               	CIAC                               	51
clinical investigator's brochure                                                                                                                                                                                                                                                                                                                                                                                	CIB                                	52
chief information officer                                                                                                                                                                                                                                                                                                                                                                                       	CIO                                	53
Cumulative Index to Nursing and Allied Health Literature                                                                                                                                                                                                                                                                                                                                                        	CINAHL                             	54
Council for International Organizations of Medical Sciences (WHO)                                                                                                                                                                                                                                                                                                                                               	CIOMS                              	55
clean in place                                                                                                                                                                                                                                                                                                                                                                                                  	CIP                                	56
cosmetic ingredient review                                                                                                                                                                                                                                                                                                                                                                                      	CIR                                	57
Center Information Retrieval System (CDRH)                                                                                                                                                                                                                                                                                                                                                                      	CIRS                               	58
Center for Information Technology (NIH)                                                                                                                                                                                                                                                                                                                                                                         	CIT                                	59
Creutzfeldt Jakob disease                                                                                                                                                                                                                                                                                                                                                                                       	CJD                                	60
Clinical Laboratory Improvement Amendments of 1988                                                                                                                                                                                                                                                                                                                                                              	CLIA                               	61
Clinical and Laboratory Standards Institute                                                                                                                                                                                                                                                                                                                                                                     	CLSI                               	62
configuration management                                                                                                                                                                                                                                                                                                                                                                                        	CM                                 	63
"chemistry, manufacturing, and control"	CMC	64
Chemistry and Manufacturing Controls Coordinating Committee (CDER)                                                                                                                                                                                                                                                                                                                                              	CMCCC                              	65
